t_prop_us,noise_pct,init_factor,warm_start,path_change_ack,path_factor,converged_ack,converged_rtt,detection_ack,detection_delta_ack,final_x_est_us,final_min_rtt_us,true_min_rtt_us,final_err_pct,acks_total,final_confirm_cnt,final_confirm_slow_cnt
500,0.0,2.0,False,,1.0,4,499,-1,-1,500,500,500,0.0,10000,0,0
500,0.0,5.0,False,,1.0,4,499,-1,-1,500,500,500,0.0,10000,0,0
500,0.0,10.0,False,,1.0,4,499,-1,-1,500,500,500,0.0,10000,0,0
500,0.0,50.0,False,,1.0,4,499,-1,-1,500,500,500,0.0,10000,0,0
500,0.0,100.0,False,,1.0,4,499,-1,-1,500,500,500,0.0,10000,0,0
500,0.5,2.0,False,,1.0,4,499,-1,-1,502,490,500,0.4,10000,0,0
500,0.5,5.0,False,,1.0,4,499,-1,-1,500,490,500,0.0,10000,0,0
500,0.5,10.0,False,,1.0,4,499,-1,-1,500,488,500,0.0,10000,0,0
500,0.5,50.0,False,,1.0,4,499,-1,-1,500,490,500,0.0,10000,0,0
500,0.5,100.0,False,,1.0,4,499,-1,-1,502,490,500,0.4,10000,0,0
500,1.0,2.0,False,,1.0,4,499,-1,-1,493,487,500,1.4000000000000001,10000,0,0
500,1.0,5.0,False,,1.0,4,499,-1,-1,491,486,500,1.7999999999999998,10000,0,0
500,1.0,10.0,False,,1.0,4,499,-1,-1,498,492,500,0.4,10000,0,0
500,1.0,50.0,False,,1.0,4,499,-1,-1,500,486,500,0.0,10000,0,3
500,1.0,100.0,False,,1.0,5,499,-1,-1,499,484,500,0.2,10000,0,3
500,2.0,2.0,False,,1.0,6,499,-1,-1,489,483,500,2.1999999999999997,10000,0,4
500,2.0,5.0,False,,1.0,4,499,-1,-1,479,479,500,4.2,10000,0,0
500,2.0,10.0,False,,1.0,4,499,-1,-1,492,480,500,1.6,10000,0,0
500,2.0,50.0,False,,1.0,4,499,-1,-1,492,475,500,1.6,10000,0,2
500,2.0,100.0,False,,1.0,4,499,-1,-1,508,486,500,1.6,10000,0,1
500,5.0,2.0,False,,1.0,10,499,-1,-1,527,527,500,5.4,10000,0,0
500,5.0,5.0,False,,1.0,4,499,-1,-1,487,474,500,2.6,10000,0,1
500,5.0,10.0,False,,1.0,6,499,-1,-1,508,453,500,1.6,10000,1,1
500,5.0,50.0,False,,1.0,4,499,-1,-1,482,454,500,3.5999999999999996,10000,0,1
500,5.0,100.0,False,,1.0,4,499,-1,-1,442,442,500,11.600000000000001,10000,0,0
500,10.0,2.0,False,,1.0,11,499,-1,-1,472,472,500,5.6000000000000005,10000,0,0
500,10.0,5.0,False,,1.0,7,499,-1,-1,480,420,500,4.0,10000,2,3
500,10.0,10.0,False,,1.0,7,499,-1,-1,521,521,500,4.2,10000,0,0
500,10.0,50.0,False,,1.0,10,499,-1,-1,489,408,500,2.1999999999999997,10000,2,2
500,10.0,100.0,False,,1.0,5,499,-1,-1,525,467,500,5.0,10000,2,2
500,20.0,2.0,False,,1.0,8,499,-1,-1,409,355,500,18.2,10000,2,2
500,20.0,5.0,False,,1.0,12,499,-1,-1,479,381,500,4.2,10000,2,2
500,20.0,10.0,False,,1.0,34,499,-1,-1,497,338,500,0.6,10000,3,4
500,20.0,50.0,False,,1.0,5,499,-1,-1,560,484,500,12.0,10000,1,4
500,20.0,100.0,False,,1.0,6,499,-1,-1,459,365,500,8.200000000000001,10000,2,2
1000,0.0,2.0,False,,1.0,4,499,-1,-1,1000,1000,1000,0.0,10000,0,0
1000,0.0,5.0,False,,1.0,4,499,-1,-1,1000,1000,1000,0.0,10000,0,0
1000,0.0,10.0,False,,1.0,4,499,-1,-1,1000,1000,1000,0.0,10000,0,0
1000,0.0,50.0,False,,1.0,4,499,-1,-1,1000,1000,1000,0.0,10000,0,0
1000,0.0,100.0,False,,1.0,4,499,-1,-1,1000,1000,1000,0.0,10000,0,0
1000,0.5,2.0,False,,1.0,4,499,-1,-1,991,979,1000,0.8999999999999999,10000,0,0
1000,0.5,5.0,False,,1.0,4,499,-1,-1,1005,981,1000,0.5,10000,0,0
1000,0.5,10.0,False,,1.0,4,499,-1,-1,1008,981,1000,0.8,10000,0,0
1000,0.5,50.0,False,,1.0,4,499,-1,-1,988,980,1000,1.2,10000,0,0
1000,0.5,100.0,False,,1.0,4,499,-1,-1,997,981,1000,0.3,10000,0,0
1000,1.0,2.0,False,,1.0,4,499,-1,-1,991,977,1000,0.8999999999999999,10000,0,0
1000,1.0,5.0,False,,1.0,4,499,-1,-1,998,976,1000,0.2,10000,0,0
1000,1.0,10.0,False,,1.0,4,499,-1,-1,995,974,1000,0.5,10000,0,4
1000,1.0,50.0,False,,1.0,4,499,-1,-1,1007,971,1000,0.7000000000000001,10000,0,1
1000,1.0,100.0,False,,1.0,4,499,-1,-1,1013,974,1000,1.3,10000,0,0
1000,2.0,2.0,False,,1.0,4,499,-1,-1,989,975,1000,1.0999999999999999,10000,0,0
1000,2.0,5.0,False,,1.0,7,499,-1,-1,1015,978,1000,1.5,10000,0,0
1000,2.0,10.0,False,,1.0,4,499,-1,-1,989,963,1000,1.0999999999999999,10000,0,0
1000,2.0,50.0,False,,1.0,5,499,-1,-1,994,961,1000,0.6,10000,0,0
1000,2.0,100.0,False,,1.0,4,499,-1,-1,1005,982,1000,0.5,10000,0,1
1000,5.0,2.0,False,,1.0,5,499,-1,-1,1047,1000,1000,4.7,10000,0,0
1000,5.0,5.0,False,,1.0,4,499,-1,-1,947,931,1000,5.3,10000,0,3
1000,5.0,10.0,False,,1.0,6,499,-1,-1,1017,961,1000,1.7000000000000002,10000,0,1
1000,5.0,50.0,False,,1.0,4,499,-1,-1,1006,1006,1000,0.6,10000,0,0
1000,5.0,100.0,False,,1.0,6,499,-1,-1,1033,933,1000,3.3000000000000003,10000,2,2
1000,10.0,2.0,False,,1.0,8,499,-1,-1,1137,950,1000,13.700000000000001,10000,1,2
1000,10.0,5.0,False,,1.0,9,499,-1,-1,964,850,1000,3.5999999999999996,10000,1,2
1000,10.0,10.0,False,,1.0,5,499,-1,-1,1083,916,1000,8.3,10000,1,3
1000,10.0,50.0,False,,1.0,10,499,-1,-1,1050,1003,1000,5.0,10000,0,0
1000,10.0,100.0,False,,1.0,13,499,-1,-1,1034,888,1000,3.4000000000000004,10000,1,1
1000,20.0,2.0,False,,1.0,12,499,-1,-1,1066,840,1000,6.6000000000000005,10000,2,2
1000,20.0,5.0,False,,1.0,11,499,-1,-1,658,523,1000,34.2,10000,2,2
1000,20.0,10.0,False,,1.0,19,499,-1,-1,1021,723,1000,2.1,10000,3,3
1000,20.0,50.0,False,,1.0,10,499,-1,-1,979,872,1000,2.1,10000,1,1
1000,20.0,100.0,False,,1.0,16,499,-1,-1,892,775,1000,10.8,10000,2,2
5000,0.0,2.0,False,,1.0,4,499,-1,-1,5000,5000,5000,0.0,10000,0,0
5000,0.0,5.0,False,,1.0,4,499,-1,-1,5000,5000,5000,0.0,10000,0,0
5000,0.0,10.0,False,,1.0,4,499,-1,-1,5000,5000,5000,0.0,10000,0,0
5000,0.0,50.0,False,,1.0,4,499,-1,-1,5000,5000,5000,0.0,10000,0,0
5000,0.0,100.0,False,,1.0,4,499,-1,-1,5000,5000,5000,0.0,10000,0,0
5000,0.5,2.0,False,,1.0,4,499,-1,-1,5011,4906,5000,0.22,10000,0,0
5000,0.5,5.0,False,,1.0,4,499,-1,-1,4963,4908,5000,0.74,10000,0,0
5000,0.5,10.0,False,,1.0,4,499,-1,-1,4975,4905,5000,0.5,10000,0,0
5000,0.5,50.0,False,,1.0,4,499,-1,-1,5015,4902,5000,0.3,10000,0,0
5000,0.5,100.0,False,,1.0,4,499,-1,-1,5027,4903,5000,0.54,10000,0,0
