t_prop_us,noise_pct,init_factor,warm_start,path_change_ack,path_factor,converged_ack,converged_rtt,detection_ack,detection_delta_ack,final_x_est_us,final_min_rtt_us,true_min_rtt_us,final_err_pct,acks_total,final_confirm_cnt,final_confirm_slow_cnt
500,0.0,0.001,True,,1.0,59,499,-1,-1,500,500,500,0.0,10000,0,0
500,0.0,0.01,True,,1.0,39,499,-1,-1,500,500,500,0.0,10000,0,0
500,0.0,0.1,True,,1.0,19,499,-1,-1,500,500,500,0.0,10000,0,0
500,0.0,0.25,True,,1.0,11,499,-1,-1,500,500,500,0.0,10000,0,0
500,0.0,0.5,True,,1.0,5,499,-1,-1,500,500,500,0.0,10000,0,0
500,0.0,0.75,True,,1.0,2,499,-1,-1,500,500,500,0.0,10000,0,0
500,0.5,0.001,True,,1.0,59,499,-1,-1,501,489,500,0.2,10000,0,0
500,0.5,0.01,True,,1.0,39,499,-1,-1,498,490,500,0.4,10000,0,0
500,0.5,0.1,True,,1.0,19,499,-1,-1,501,491,500,0.2,10000,0,0
500,0.5,0.25,True,,1.0,11,499,-1,-1,498,490,500,0.4,10000,0,0
500,0.5,0.5,True,,1.0,5,499,-1,-1,507,490,500,1.4000000000000001,10000,0,0
500,0.5,0.75,True,,1.0,2,499,-1,-1,501,491,500,0.2,10000,0,0
500,1.0,0.001,True,,1.0,59,499,-1,-1,507,486,500,1.4000000000000001,10000,0,2
500,1.0,0.01,True,,1.0,39,499,-1,-1,499,487,500,0.2,10000,0,0
500,1.0,0.1,True,,1.0,19,499,-1,-1,492,487,500,1.6,10000,0,0
500,1.0,0.25,True,,1.0,11,499,-1,-1,496,487,500,0.8,10000,0,0
500,1.0,0.5,True,,1.0,6,499,-1,-1,507,487,500,1.4000000000000001,10000,0,4
500,1.0,0.75,True,,1.0,2,499,-1,-1,494,486,500,1.2,10000,0,4
500,2.0,0.001,True,,1.0,59,499,-1,-1,506,498,500,1.2,10000,0,0
500,2.0,0.01,True,,1.0,39,499,-1,-1,498,482,500,0.4,10000,0,0
500,2.0,0.1,True,,1.0,19,499,-1,-1,492,480,500,1.6,10000,0,3
500,2.0,0.25,True,,1.0,11,499,-1,-1,491,488,500,1.7999999999999998,10000,0,2
500,2.0,0.5,True,,1.0,5,499,-1,-1,502,484,500,0.4,10000,0,2
500,2.0,0.75,True,,1.0,2,499,-1,-1,495,495,500,1.0,10000,0,0
500,5.0,0.001,True,,1.0,64,499,-1,-1,507,480,500,1.4000000000000001,10000,0,1
500,5.0,0.01,True,,1.0,39,499,-1,-1,506,506,500,1.2,10000,0,0
500,5.0,0.1,True,,1.0,20,499,-1,-1,499,499,500,0.2,10000,0,0
500,5.0,0.25,True,,1.0,12,499,-1,-1,513,508,500,2.6,10000,0,1
500,5.0,0.5,True,,1.0,5,499,-1,-1,531,531,500,6.2,10000,0,0
500,5.0,0.75,True,,1.0,3,499,-1,-1,530,492,500,6.0,10000,0,1
500,10.0,0.001,True,,1.0,59,499,-1,-1,471,452,500,5.800000000000001,10000,0,1
500,10.0,0.01,True,,1.0,39,499,-1,-1,495,483,500,1.0,10000,0,0
500,10.0,0.1,True,,1.0,20,499,-1,-1,526,492,500,5.2,10000,0,4
500,10.0,0.25,True,,1.0,18,499,-1,-1,430,430,500,14.000000000000002,10000,0,0
500,10.0,0.5,True,,1.0,5,499,-1,-1,452,452,500,9.6,10000,0,0
500,10.0,0.75,True,,1.0,9,499,-1,-1,521,521,500,4.2,10000,0,0
500,20.0,0.001,True,,1.0,59,499,-1,-1,456,407,500,8.799999999999999,10000,1,1
500,20.0,0.01,True,,1.0,45,499,-1,-1,471,420,500,5.800000000000001,10000,1,1
500,20.0,0.1,True,,1.0,21,499,-1,-1,297,265,500,40.6,10000,1,1
500,20.0,0.25,True,,1.0,11,499,-1,-1,461,461,500,7.8,10000,0,0
500,20.0,0.5,True,,1.0,13,499,-1,-1,444,443,500,11.200000000000001,10000,0,0
500,20.0,0.75,True,,1.0,2,499,-1,-1,372,372,500,25.6,10000,0,0
1000,0.0,0.001,True,,1.0,59,499,-1,-1,1000,1000,1000,0.0,10000,0,0
1000,0.0,0.01,True,,1.0,39,499,-1,-1,1000,1000,1000,0.0,10000,0,0
1000,0.0,0.1,True,,1.0,19,499,-1,-1,1000,1000,1000,0.0,10000,0,0
1000,0.0,0.25,True,,1.0,11,499,-1,-1,1000,1000,1000,0.0,10000,0,0
1000,0.0,0.5,True,,1.0,5,499,-1,-1,1000,1000,1000,0.0,10000,0,0
1000,0.0,0.75,True,,1.0,2,499,-1,-1,1000,1000,1000,0.0,10000,0,0
1000,0.5,0.001,True,,1.0,59,499,-1,-1,1009,983,1000,0.8999999999999999,10000,0,0
1000,0.5,0.01,True,,1.0,39,499,-1,-1,1000,980,1000,0.0,10000,0,0
1000,0.5,0.1,True,,1.0,19,499,-1,-1,998,980,1000,0.2,10000,0,0
1000,0.5,0.25,True,,1.0,11,499,-1,-1,1006,981,1000,0.6,10000,0,0
1000,0.5,0.5,True,,1.0,5,499,-1,-1,1000,981,1000,0.0,10000,0,0
1000,0.5,0.75,True,,1.0,2,499,-1,-1,1008,978,1000,0.8,10000,0,0
1000,1.0,0.001,True,,1.0,59,499,-1,-1,1010,973,1000,1.0,10000,0,0
1000,1.0,0.01,True,,1.0,39,499,-1,-1,996,972,1000,0.4,10000,0,2
1000,1.0,0.1,True,,1.0,19,499,-1,-1,1006,974,1000,0.6,10000,0,4
1000,1.0,0.25,True,,1.0,11,499,-1,-1,996,973,1000,0.4,10000,0,0
1000,1.0,0.5,True,,1.0,5,499,-1,-1,1011,969,1000,1.0999999999999999,10000,0,4
1000,1.0,0.75,True,,1.0,2,499,-1,-1,994,971,1000,0.6,10000,0,3
1000,2.0,0.001,True,,1.0,59,499,-1,-1,970,938,1000,3.0,10000,0,0
1000,2.0,0.01,True,,1.0,41,499,-1,-1,1010,1002,1000,1.0,10000,0,0
1000,2.0,0.1,True,,1.0,19,499,-1,-1,1011,972,1000,1.0999999999999999,10000,0,0
1000,2.0,0.25,True,,1.0,11,499,-1,-1,973,957,1000,2.7,10000,0,2
1000,2.0,0.5,True,,1.0,5,499,-1,-1,1031,965,1000,3.1,10000,0,1
1000,2.0,0.75,True,,1.0,2,499,-1,-1,1023,962,1000,2.3,10000,0,1
1000,5.0,0.001,True,,1.0,62,499,-1,-1,1017,1017,1000,1.7000000000000002,10000,0,0
1000,5.0,0.01,True,,1.0,41,499,-1,-1,921,921,1000,7.9,10000,0,0
1000,5.0,0.1,True,,1.0,19,499,-1,-1,1083,1015,1000,8.3,10000,0,2
1000,5.0,0.25,True,,1.0,11,499,-1,-1,1096,1096,1000,9.6,10000,0,0
1000,5.0,0.5,True,,1.0,5,499,-1,-1,945,945,1000,5.5,10000,0,0
1000,5.0,0.75,True,,1.0,2,499,-1,-1,897,897,1000,10.299999999999999,10000,0,0
1000,10.0,0.001,True,,1.0,63,499,-1,-1,1002,1002,1000,0.2,10000,0,0
1000,10.0,0.01,True,,1.0,43,499,-1,-1,1068,952,1000,6.800000000000001,10000,1,1
1000,10.0,0.1,True,,1.0,28,499,-1,-1,1018,991,1000,1.7999999999999998,10000,0,1
1000,10.0,0.25,True,,1.0,11,499,-1,-1,1049,935,1000,4.9,10000,1,1
1000,10.0,0.5,True,,1.0,6,499,-1,-1,918,807,1000,8.200000000000001,10000,1,2
1000,10.0,0.75,True,,1.0,4,499,-1,-1,808,808,1000,19.2,10000,0,0
1000,20.0,0.001,True,,1.0,80,499,-1,-1,985,985,1000,1.5,10000,0,0
1000,20.0,0.01,True,,1.0,49,499,-1,-1,1034,935,1000,3.4000000000000004,10000,2,2
1000,20.0,0.1,True,,1.0,48,499,-1,-1,1197,935,1000,19.7,10000,2,2
1000,20.0,0.25,True,,1.0,28,499,-1,-1,771,613,1000,22.900000000000002,10000,2,2
1000,20.0,0.5,True,,1.0,14,499,-1,-1,752,598,1000,24.8,10000,2,2
1000,20.0,0.75,True,,1.0,4,499,-1,-1,887,705,1000,11.3,10000,2,2
5000,0.0,0.001,True,,1.0,59,499,-1,-1,5000,5000,5000,0.0,10000,0,0
5000,0.0,0.01,True,,1.0,39,499,-1,-1,5000,5000,5000,0.0,10000,0,0
5000,0.0,0.1,True,,1.0,19,499,-1,-1,5000,5000,5000,0.0,10000,0,0
5000,0.0,0.25,True,,1.0,11,499,-1,-1,5000,5000,5000,0.0,10000,0,0
5000,0.0,0.5,True,,1.0,5,499,-1,-1,5000,5000,5000,0.0,10000,0,0
