t_prop_us,noise_pct,init_factor,warm_start,path_change_ack,path_factor,converged_ack,converged_rtt,detection_ack,detection_delta_ack,final_x_est_us,final_min_rtt_us,true_min_rtt_us,final_err_pct,acks_total,final_confirm_cnt,final_confirm_slow_cnt
500,1.0,1.0,True,500,1.05,0,499,504,4,531,511,525,1.1428571428571428,10000,0,0
500,1.0,1.0,True,500,1.1,0,499,504,4,547,541,550,0.5454545454545455,10000,0,0
500,1.0,1.0,True,500,1.25,0,499,503,3,622,607,625,0.48,10000,0,3
500,1.0,1.0,True,500,1.5,0,499,505,5,731,727,750,2.533333333333333,10000,0,4
500,1.0,1.0,True,500,2.0,0,499,507,7,1002,969,1000,0.2,10000,0,0
500,1.0,1.0,True,500,5.0,0,499,515,15,2518,2427,2500,0.72,10000,0,3
500,1.0,1.0,True,500,10.0,1,499,519,19,4998,4869,5000,0.04,10000,0,2
500,1.0,1.0,True,500,20.0,0,499,527,27,10006,9805,10000,0.06,10000,0,1
500,5.0,1.0,True,500,1.05,1,499,501,1,508,489,525,3.2380952380952377,10000,0,2
500,5.0,1.0,True,500,1.1,1,499,500,0,554,554,550,0.7272727272727273,10000,0,0
500,5.0,1.0,True,500,1.25,5,499,503,3,601,601,625,3.84,10000,0,0
500,5.0,1.0,True,500,1.5,2,499,508,8,683,683,750,8.933333333333334,10000,0,0
500,5.0,1.0,True,500,2.0,3,499,507,7,916,916,1000,8.4,10000,0,0
500,5.0,1.0,True,500,5.0,3,499,515,15,2675,2420,2500,7.000000000000001,10000,1,3
500,5.0,1.0,True,500,10.0,2,499,530,30,5271,5059,5000,5.42,10000,0,0
500,5.0,1.0,True,500,20.0,3,499,527,27,10047,9509,10000,0.47000000000000003,10000,0,2
1000,1.0,1.0,True,500,1.05,0,499,502,2,1027,1027,1050,2.1904761904761907,10000,0,0
1000,1.0,1.0,True,500,1.1,0,499,503,3,1101,1066,1100,0.09090909090909091,10000,0,1
