t_prop_us,noise_pct,init_factor,warm_start,path_change_ack,path_factor,converged_ack,converged_rtt,detection_ack,detection_delta_ack,final_x_est_us,final_min_rtt_us,true_min_rtt_us,final_err_pct,acks_total,final_confirm_cnt,final_confirm_slow_cnt
500,1.0,0.1,True,,1.0,19,499,-1,-1,503,486,500,0.6,10000,0,0
500,1.0,0.5,True,,1.0,5,499,-1,-1,510,488,500,2.0,10000,0,1
500,1.0,0.1,True,,1.0,19,499,-1,-1,494,487,500,1.2,10000,0,0
500,1.0,0.5,True,,1.0,5,499,-1,-1,498,486,500,0.4,10000,0,1
500,1.0,0.1,True,,1.0,19,499,-1,-1,493,485,500,1.4000000000000001,10000,0,0
500,1.0,0.5,True,,1.0,5,499,-1,-1,500,486,500,0.0,10000,0,3
500,5.0,0.1,True,,1.0,19,499,-1,-1,487,487,500,2.6,10000,0,0
500,5.0,0.5,True,,1.0,11,499,-1,-1,510,467,500,2.0,10000,0,1
500,5.0,0.1,True,,1.0,19,499,-1,-1,525,480,500,5.0,10000,0,1
500,5.0,0.5,True,,1.0,6,499,-1,-1,473,473,500,5.4,10000,0,0
500,5.0,0.1,True,,1.0,20,499,-1,-1,506,493,500,1.2,10000,0,0
500,5.0,0.5,True,,1.0,11,499,-1,-1,501,430,500,0.2,10000,2,4
1000,1.0,0.1,True,,1.0,19,499,-1,-1,1001,963,1000,0.1,10000,0,0
1000,1.0,0.5,True,,1.0,5,499,-1,-1,983,971,1000,1.7000000000000002,10000,0,3
1000,1.0,0.1,True,,1.0,19,499,-1,-1,1003,983,1000,0.3,10000,0,0
1000,1.0,0.5,True,,1.0,5,499,-1,-1,990,970,1000,1.0,10000,0,1
1000,1.0,0.1,True,,1.0,19,499,-1,-1,1006,972,1000,0.6,10000,0,2
1000,1.0,0.5,True,,1.0,5,499,-1,-1,1010,976,1000,1.0,10000,0,0
1000,5.0,0.1,True,,1.0,19,499,-1,-1,1006,982,1000,0.6,10000,0,0
1000,5.0,0.5,True,,1.0,5,499,-1,-1,1058,911,1000,5.800000000000001,10000,1,2
1000,5.0,0.1,True,,1.0,20,499,-1,-1,960,904,1000,4.0,10000,0,1
1000,5.0,0.5,True,,1.0,6,499,-1,-1,957,944,1000,4.3,10000,0,2
1000,5.0,0.1,True,,1.0,20,499,-1,-1,1025,1025,1000,2.5,10000,0,0
1000,5.0,0.5,True,,1.0,7,499,-1,-1,1002,881,1000,0.2,10000,2,2
5000,1.0,0.1,True,,1.0,19,499,-1,-1,5040,4897,5000,0.8,10000,0,0
5000,1.0,0.5,True,,1.0,5,499,-1,-1,5019,4854,5000,0.38,10000,0,3
5000,1.0,0.1,True,,1.0,19,499,-1,-1,5041,4849,5000,0.8200000000000001,10000,0,4
5000,1.0,0.5,True,,1.0,5,499,-1,-1,5018,4856,5000,0.36,10000,0,1
5000,1.0,0.1,True,,1.0,19,499,-1,-1,5064,4868,5000,1.28,10000,0,0
5000,1.0,0.5,True,,1.0,5,499,-1,-1,4954,4858,5000,0.9199999999999999,10000,0,3
5000,5.0,0.1,True,,1.0,20,499,-1,-1,4976,4550,5000,0.48,10000,0,2
5000,5.0,0.5,True,,1.0,8,499,-1,-1,5032,4620,5000,0.64,10000,0,1
5000,5.0,0.1,True,,1.0,22,499,-1,-1,5119,5119,5000,2.3800000000000003,10000,0,0
5000,5.0,0.5,True,,1.0,5,499,-1,-1,4970,4600,5000,0.6,10000,0,4
5000,5.0,0.1,True,,1.0,29,499,-1,-1,4920,4920,5000,1.6,10000,0,0
5000,5.0,0.5,True,,1.0,5,499,-1,-1,4963,4703,5000,0.74,10000,0,2
10000,1.0,0.1,True,,1.0,19,499,-1,-1,9966,9662,10000,0.33999999999999997,10000,0,3
10000,1.0,0.5,True,,1.0,5,499,-1,-1,9951,9687,10000,0.49,10000,0,0
10000,1.0,0.1,True,,1.0,19,499,-1,-1,10045,9741,10000,0.44999999999999996,10000,0,0
10000,1.0,0.5,True,,1.0,5,499,-1,-1,10119,9724,10000,1.1900000000000002,10000,0,0
10000,1.0,0.1,True,,1.0,19,499,-1,-1,10203,9697,10000,2.03,10000,0,1
10000,1.0,0.5,True,,1.0,5,499,-1,-1,10109,9723,10000,1.09,10000,0,2
10000,5.0,0.1,True,,1.0,19,499,-1,-1,9691,8638,10000,3.09,10000,1,1
10000,5.0,0.5,True,,1.0,5,499,-1,-1,10243,9771,10000,2.4299999999999997,10000,0,0
10000,5.0,0.1,True,,1.0,19,499,-1,-1,9712,9712,10000,2.88,10000,0,0
10000,5.0,0.5,True,,1.0,6,499,-1,-1,10589,9185,10000,5.89,10000,2,2
10000,5.0,0.1,True,,1.0,19,499,-1,-1,9470,9143,10000,5.3,10000,0,1
10000,5.0,0.5,True,,1.0,5,499,-1,-1,9864,9227,10000,1.3599999999999999,10000,0,2
50000,1.0,0.1,True,,1.0,19,499,-1,-1,50084,48852,50000,0.168,10000,0,0
50000,1.0,0.5,True,,1.0,5,499,-1,-1,51196,48565,50000,2.392,10000,0,1
50000,1.0,0.1,True,,1.0,19,499,-1,-1,50137,48608,50000,0.27399999999999997,10000,0,3
50000,1.0,0.5,True,,1.0,5,499,-1,-1,50155,48520,50000,0.31,10000,0,0
50000,1.0,0.1,True,,1.0,19,499,-1,-1,49546,48681,50000,0.9079999999999999,10000,0,2
50000,1.0,0.5,True,,1.0,5,499,-1,-1,50205,48712,50000,0.41000000000000003,10000,0,2
50000,5.0,0.1,True,,1.0,19,499,-1,-1,51561,46513,50000,3.1220000000000003,10000,1,1
50000,5.0,0.5,True,,1.0,13,499,-1,-1,45829,45829,50000,8.341999999999999,10000,0,0
50000,5.0,0.1,True,,1.0,23,499,-1,-1,46953,44879,50000,6.094,10000,0,0
50000,5.0,0.5,True,,1.0,7,499,-1,-1,51746,51746,50000,3.492,10000,0,0
50000,5.0,0.1,True,,1.0,19,499,-1,-1,53108,49935,50000,6.216,10000,0,1
50000,5.0,0.5,True,,1.0,6,499,-1,-1,53102,46490,50000,6.204,10000,1,2
100000,1.0,0.1,True,,1.0,19,499,-1,-1,101215,97206,100000,1.2149999999999999,10000,0,3
100000,1.0,0.5,True,,1.0,5,499,-1,-1,100813,96913,100000,0.8130000000000001,10000,0,3
100000,1.0,0.1,True,,1.0,19,499,-1,-1,100060,97629,100000,0.06,10000,0,0
100000,1.0,0.5,True,,1.0,5,499,-1,-1,98273,97183,100000,1.727,10000,0,4
100000,1.0,0.1,True,,1.0,19,499,-1,-1,99695,99695,100000,0.305,10000,0,0
100000,1.0,0.5,True,,1.0,5,499,-1,-1,100169,96467,100000,0.169,10000,0,2
100000,5.0,0.1,True,,1.0,22,499,-1,-1,106342,97719,100000,6.3420000000000005,10000,0,1
100000,5.0,0.5,True,,1.0,6,499,-1,-1,107993,96652,100000,7.993,10000,1,4
100000,5.0,0.1,True,,1.0,25,499,-1,-1,95000,95000,100000,5.0,10000,0,0
100000,5.0,0.5,True,,1.0,5,499,-1,-1,104488,93127,100000,4.488,10000,1,1
100000,5.0,0.1,True,,1.0,19,499,-1,-1,95598,93972,100000,4.401999999999999,10000,0,4
100000,5.0,0.5,True,,1.0,5,499,-1,-1,94261,94261,100000,5.739,10000,0,0
500000,1.0,0.1,True,,1.0,19,499,-1,-1,495234,487199,500000,0.9532,10000,0,0
500000,1.0,0.5,True,,1.0,5,499,-1,-1,485326,485326,500000,2.9348,10000,0,0
500000,1.0,0.1,True,,1.0,19,499,-1,-1,496334,489392,500000,0.7332,10000,0,0
500000,1.0,0.5,True,,1.0,5,499,-1,-1,505338,486603,500000,1.0675999999999999,10000,0,3
500000,1.0,0.1,True,,1.0,19,499,-1,-1,502994,485672,500000,0.5988,10000,0,3
500000,1.0,0.5,True,,1.0,5,499,-1,-1,510376,486085,500000,2.0752,10000,0,4
500000,5.0,0.1,True,,1.0,19,499,-1,-1,486585,472531,500000,2.683,10000,0,2
500000,5.0,0.5,True,,1.0,10,499,-1,-1,510692,493053,500000,2.1384,10000,0,0
500000,5.0,0.1,True,,1.0,19,499,-1,-1,494572,456414,500000,1.0856,10000,0,1
500000,5.0,0.5,True,,1.0,12,499,-1,-1,481650,481650,500000,3.6700000000000004,10000,0,0
500000,5.0,0.1,True,,1.0,24,499,-1,-1,516406,488818,500000,3.2812,10000,0,1
500000,5.0,0.5,True,,1.0,5,499,-1,-1,477561,460053,500000,4.4878,10000,0,3
1000000,1.0,0.1,True,,1.0,19,499,-1,-1,1003442,977388,1000000,0.3442,10000,0,0
1000000,1.0,0.5,True,,1.0,5,499,-1,-1,1025852,976335,1000000,2.5852,10000,0,1
1000000,1.0,0.1,True,,1.0,19,499,-1,-1,998045,971871,1000000,0.1955,10000,0,4
1000000,1.0,0.5,True,,1.0,5,499,-1,-1,984603,958371,1000000,1.5396999999999998,10000,0,3
1000000,1.0,0.1,True,,1.0,19,499,-1,-1,997608,970534,1000000,0.2392,10000,0,1
1000000,1.0,0.5,True,,1.0,5,499,-1,-1,1007035,976741,1000000,0.7035,10000,0,0
1000000,5.0,0.1,True,,1.0,22,499,-1,-1,910720,910720,1000000,8.927999999999999,10000,0,0
1000000,5.0,0.5,True,,1.0,6,499,-1,-1,1077607,960025,1000000,7.7607,10000,1,2
1000000,5.0,0.1,True,,1.0,19,499,-1,-1,1014349,933093,1000000,1.4349,10000,0,3
1000000,5.0,0.5,True,,1.0,7,499,-1,-1,1037639,924812,1000000,3.7639,10000,1,1
1000000,5.0,0.1,True,,1.0,19,499,-1,-1,956647,901741,1000000,4.3353,10000,0,3
1000000,5.0,0.5,True,,1.0,5,499,-1,-1,1031602,931101,1000000,3.1601999999999997,10000,1,1
