t_prop_us,noise_pct,init_factor,warm_start,path_change_ack,path_factor,converged_ack,converged_rtt,detection_ack,detection_delta_ack,final_x_est_us,final_min_rtt_us,true_min_rtt_us,final_err_pct,acks_total,final_confirm_cnt,final_confirm_slow_cnt,trial
500,0.0,1.0,False,,1.0,4,249,-1,-1,500,500,500,0.0,5000,0,0,0
500,0.0,1.0,False,,1.0,4,249,-1,-1,500,500,500,0.0,5000,0,0,1
500,0.0,1.0,False,,1.0,4,249,-1,-1,500,500,500,0.0,5000,0,0,2
500,0.0,1.0,False,,1.0,4,249,-1,-1,500,500,500,0.0,5000,0,0,3
500,0.0,1.0,False,,1.0,4,249,-1,-1,500,500,500,0.0,5000,0,0,4
500,0.0,5.0,True,,1.0,0,249,-1,-1,500,500,500,0.0,5000,0,0,0
500,0.0,5.0,True,,1.0,0,249,-1,-1,500,500,500,0.0,5000,0,0,1
500,0.0,5.0,True,,1.0,0,249,-1,-1,500,500,500,0.0,5000,0,0,2
500,0.0,5.0,True,,1.0,0,249,-1,-1,500,500,500,0.0,5000,0,0,3
500,0.0,5.0,True,,1.0,0,249,-1,-1,500,500,500,0.0,5000,0,0,4
500,0.0,10.0,True,,1.0,0,249,-1,-1,500,500,500,0.0,5000,0,0,0
500,0.0,10.0,True,,1.0,0,249,-1,-1,500,500,500,0.0,5000,0,0,1
500,0.0,10.0,True,,1.0,0,249,-1,-1,500,500,500,0.0,5000,0,0,2
500,0.0,10.0,True,,1.0,0,249,-1,-1,500,500,500,0.0,5000,0,0,3
500,0.0,10.0,True,,1.0,0,249,-1,-1,500,500,500,0.0,5000,0,0,4
500,0.5,1.0,False,,1.0,4,249,-1,-1,504,491,500,0.8,5000,0,0,0
500,0.5,1.0,False,,1.0,4,249,-1,-1,499,491,500,0.2,5000,0,0,1
500,0.5,1.0,False,,1.0,4,249,-1,-1,500,491,500,0.0,5000,0,0,2
500,0.5,1.0,False,,1.0,4,249,-1,-1,499,491,500,0.2,5000,0,0,3
500,0.5,1.0,False,,1.0,4,249,-1,-1,501,491,500,0.2,5000,0,0,4
500,0.5,5.0,True,,1.0,0,249,-1,-1,496,490,500,0.8,5000,0,0,0
500,0.5,5.0,True,,1.0,0,249,-1,-1,502,490,500,0.4,5000,0,0,1
500,0.5,5.0,True,,1.0,0,249,-1,-1,501,491,500,0.2,5000,0,0,2
500,0.5,5.0,True,,1.0,0,249,-1,-1,496,489,500,0.8,5000,0,0,3
500,0.5,5.0,True,,1.0,0,249,-1,-1,499,490,500,0.2,5000,0,0,4
500,0.5,10.0,True,,1.0,0,249,-1,-1,500,490,500,0.0,5000,0,0,0
500,0.5,10.0,True,,1.0,0,249,-1,-1,500,490,500,0.0,5000,0,0,1
500,0.5,10.0,True,,1.0,0,249,-1,-1,504,491,500,0.8,5000,0,0,2
500,0.5,10.0,True,,1.0,0,249,-1,-1,500,492,500,0.0,5000,0,0,3
500,0.5,10.0,True,,1.0,0,249,-1,-1,500,489,500,0.0,5000,0,0,4
500,1.0,1.0,False,,1.0,4,249,-1,-1,509,490,500,1.7999999999999998,5000,0,0,0
500,1.0,1.0,False,,1.0,4,249,-1,-1,491,486,500,1.7999999999999998,5000,0,2,1
