t_prop_us,noise_pct,init_factor,is_under,path_change_factor,converged_acks,converged_rtts,detection_acks,detection_rtts,final_x_est_us,final_min_rtt_us,true_min_rtt_us,final_err_pct,acks
500,0.5,1.0,False,1.0,5,0,,,500,491,500,0.0,5000
500,0.5,2.0,False,1.0,5,0,,,500,491,500,0.0,5000
500,0.5,5.0,False,1.0,5,0,,,500,491,500,0.0,5000
500,0.5,10.0,False,1.0,5,0,,,500,491,500,0.0,5000
500,0.5,0.1,True,1.0,20,0,,,500,491,500,0.0,5000
500,0.5,0.5,True,1.0,6,0,,,500,491,500,0.0,5000
500,1.0,1.0,False,1.0,5,0,,,500,495,500,0.0,5000
500,1.0,2.0,False,1.0,5,0,,,500,495,500,0.0,5000
500,1.0,5.0,False,1.0,5,0,,,500,495,500,0.0,5000
500,1.0,10.0,False,1.0,5,0,,,500,495,500,0.0,5000
500,1.0,0.1,True,1.0,20,0,,,500,495,500,0.0,5000
500,1.0,0.5,True,1.0,6,0,,,500,495,500,0.0,5000
500,2.0,1.0,False,1.0,5,0,,,500,500,500,0.0,5000
500,2.0,2.0,False,1.0,5,0,,,500,500,500,0.0,5000
500,2.0,5.0,False,1.0,5,0,,,500,500,500,0.0,5000
500,2.0,10.0,False,1.0,5,0,,,500,500,500,0.0,5000
500,2.0,0.1,True,1.0,20,0,,,500,500,500,0.0,5000
500,2.0,0.5,True,1.0,7,0,,,500,500,500,0.0,5000
500,5.0,1.0,False,1.0,5,0,,,500,488,500,0.0,5000
500,5.0,2.0,False,1.0,5,0,,,500,488,500,0.0,5000
500,5.0,5.0,False,1.0,5,0,,,500,488,500,0.0,5000
500,5.0,10.0,False,1.0,5,0,,,500,488,500,0.0,5000
500,5.0,0.1,True,1.0,20,0,,,500,488,500,0.0,5000
500,5.0,0.5,True,1.0,7,0,,,500,488,500,0.0,5000
500,10.0,1.0,False,1.0,5,0,,,499,499,500,0.2,5000
500,10.0,2.0,False,1.0,5,0,,,499,499,500,0.2,5000
500,10.0,5.0,False,1.0,5,0,,,499,499,500,0.2,5000
500,10.0,10.0,False,1.0,5,0,,,499,499,500,0.2,5000
500,10.0,0.1,True,1.0,20,0,,,499,499,500,0.2,5000
500,10.0,0.5,True,1.0,9,0,,,499,499,500,0.2,5000
1000,0.5,1.0,False,1.0,5,0,,,1000,981,1000,0.0,5000
1000,0.5,2.0,False,1.0,5,0,,,1000,981,1000,0.0,5000
1000,0.5,5.0,False,1.0,5,0,,,1000,981,1000,0.0,5000
1000,0.5,10.0,False,1.0,5,0,,,1000,981,1000,0.0,5000
1000,0.5,0.1,True,1.0,20,0,,,1000,981,1000,0.0,5000
1000,0.5,0.5,True,1.0,6,0,,,1000,981,1000,0.0,5000
1000,1.0,1.0,False,1.0,5,0,,,1000,976,1000,0.0,5000
1000,1.0,2.0,False,1.0,5,0,,,1000,976,1000,0.0,5000
1000,1.0,5.0,False,1.0,5,0,,,1000,976,1000,0.0,5000
1000,1.0,10.0,False,1.0,5,0,,,1000,976,1000,0.0,5000
1000,1.0,0.1,True,1.0,20,0,,,1000,976,1000,0.0,5000
1000,1.0,0.5,True,1.0,6,0,,,1000,976,1000,0.0,5000
1000,2.0,1.0,False,1.0,5,0,,,1000,1000,1000,0.0,5000
1000,2.0,2.0,False,1.0,5,0,,,1000,1000,1000,0.0,5000
1000,2.0,5.0,False,1.0,5,0,,,1000,1000,1000,0.0,5000
1000,2.0,10.0,False,1.0,5,0,,,1000,1000,1000,0.0,5000
1000,2.0,0.1,True,1.0,20,0,,,1000,1000,1000,0.0,5000
1000,2.0,0.5,True,1.0,7,0,,,1000,1000,1000,0.0,5000
1000,5.0,1.0,False,1.0,5,0,,,999,976,1000,0.1,5000
1000,5.0,2.0,False,1.0,5,0,,,999,976,1000,0.1,5000
1000,5.0,5.0,False,1.0,5,0,,,999,976,1000,0.1,5000
1000,5.0,10.0,False,1.0,5,0,,,999,976,1000,0.1,5000
1000,5.0,0.1,True,1.0,20,0,,,999,976,1000,0.1,5000
1000,5.0,0.5,True,1.0,7,0,,,999,976,1000,0.1,5000
1000,10.0,1.0,False,1.0,5,0,,,998,998,1000,0.2,5000
1000,10.0,2.0,False,1.0,5,0,,,998,998,1000,0.2,5000
1000,10.0,5.0,False,1.0,5,0,,,998,998,1000,0.2,5000
1000,10.0,10.0,False,1.0,5,0,,,998,998,1000,0.2,5000
1000,10.0,0.1,True,1.0,20,0,,,998,998,1000,0.2,5000
1000,10.0,0.5,True,1.0,10,0,,,998,998,1000,0.2,5000
