t_prop_us,noise_pct,init_factor,is_under,path_change_factor,converged_acks,converged_rtts,detection_acks,detection_rtts,final_x_est_us,final_min_rtt_us,true_min_rtt_us,final_err_pct,acks
625,1.0,1.0,path,1.25,1,0,203,10,625,618,625,0.0,5000
750,1.0,1.0,path,1.5,1,0,207,10,750,732,750,0.0,5000
1000,1.0,1.0,path,2.0,1,0,206,10,1000,976,1000,0.0,5000
2500,1.0,1.0,path,5.0,1,0,215,10,2500,2440,2500,0.0,5000
5000,1.0,1.0,path,10.0,1,0,221,11,4999,4879,5000,0.02,5000
625,5.0,1.0,path,1.25,1,0,203,10,625,610,625,0.0,5000
750,5.0,1.0,path,1.5,1,0,212,10,749,732,750,0.13333333333333333,5000
1000,5.0,1.0,path,2.0,1,0,206,10,999,976,1000,0.1,5000
2500,5.0,1.0,path,5.0,1,0,215,10,2497,2439,2500,0.12,5000
5000,5.0,1.0,path,10.0,1,0,221,11,4993,4877,5000,0.13999999999999999,5000
1250,1.0,1.0,path,1.25,1,0,202,10,1250,1220,1250,0.0,5000
1500,1.0,1.0,path,1.5,1,0,205,10,1500,1464,1500,0.0,5000
2000,1.0,1.0,path,2.0,1,0,208,10,2000,1952,2000,0.0,5000
5000,1.0,1.0,path,5.0,1,0,214,10,4999,4879,5000,0.02,5000
10000,1.0,1.0,path,10.0,1,0,220,10,9998,9757,10000,0.02,5000
1250,5.0,1.0,path,1.25,1,0,203,10,1249,1220,1250,0.08,5000
1500,5.0,1.0,path,1.5,1,0,212,10,1498,1463,1500,0.13333333333333333,5000
2000,5.0,1.0,path,2.0,1,0,206,10,1998,1951,2000,0.1,5000
5000,5.0,1.0,path,5.0,1,0,215,10,4993,4877,5000,0.13999999999999999,5000
10000,5.0,1.0,path,10.0,1,0,221,11,9986,9753,10000,0.13999999999999999,5000
6250,1.0,1.0,path,1.25,1,0,204,10,6249,6098,6250,0.016,5000
7500,1.0,1.0,path,1.5,1,0,204,10,7498,7318,7500,0.02666666666666667,5000
10000,1.0,1.0,path,2.0,1,0,207,10,9998,9757,10000,0.02,5000
25000,1.0,1.0,path,5.0,1,0,216,10,24993,24391,25000,0.027999999999999997,5000
50000,1.0,1.0,path,10.0,1,0,222,11,49986,48781,50000,0.027999999999999997,5000
6250,5.0,1.0,path,1.25,1,0,203,10,6241,6096,6250,0.14400000000000002,5000
7500,5.0,1.0,path,1.5,1,0,212,10,7490,7315,7500,0.13333333333333333,5000
10000,5.0,1.0,path,2.0,1,0,206,10,9986,9753,10000,0.13999999999999999,5000
25000,5.0,1.0,path,5.0,1,0,215,10,24964,24381,25000,0.14400000000000002,5000
50000,5.0,1.0,path,10.0,1,0,221,11,49927,48762,50000,0.146,5000
12500,1.0,1.0,path,1.25,1,0,203,10,12497,12196,12500,0.024,5000
15000,1.0,1.0,path,1.5,1,0,207,10,14996,14635,15000,0.02666666666666667,5000
20000,1.0,1.0,path,2.0,1,0,206,10,19995,19513,20000,0.025,5000
50000,1.0,1.0,path,5.0,1,0,215,10,49986,48781,50000,0.027999999999999997,5000
